date,region,cliAdmissions,testPositivity,positiveTests,totalTests,surge,icu
2020-06-28T00:00:00,1,5.0,3.5,23,993,0.490133897,0.678518519
2020-06-28T00:00:00,2,6.0,2.6,35,2251,0.454296661,0.487513572
2020-06-28T00:00:00,3,1.0,1.3,23,1302,0.409197422,0.595833333
2020-06-28T00:00:00,4,2.0,4.6,65,1622,0.438986355,0.564885496
2020-06-28T00:00:00,5,1.0,2.1,8,819,0.506912442,0.587628866
2020-06-28T00:00:00,6,3.0,1.5,19,1602,0.44592145,0.565543071
2020-06-28T00:00:00,7,9.0,4.6,32,1240,0.327642276,0.385057471
2020-06-28T00:00:00,8,12.0,3.9,79,2249,0.348405188,0.489702517
2020-06-28T00:00:00,9,7.0,3.2,81,2342,0.426758939,0.540645161
2020-06-28T00:00:00,10,21.0,4.6,181,4960,0.301173403,0.408888889
2020-06-28T00:00:00,11,32.0,4.6,241,6672,0.33907792,0.440401506
2020-06-28T00:00:00,14,0.0,1.5,19,1602,,
2020-06-29T00:00:00,1,5.0,3.2,35,1171,0.500704722,0.684444444
2020-06-29T00:00:00,2,5.0,2.6,59,2255,0.453931764,0.471226927
2020-06-29T00:00:00,3,1.0,1.4,14,1038,0.416666667,0.620833333
2020-06-29T00:00:00,4,2.0,4.8,58,1212,0.430528376,0.541984733
2020-06-29T00:00:00,5,1.0,1.9,7,832,0.518575064,0.580756014
2020-06-29T00:00:00,6,3.0,1.4,22,2077,0.44656373,0.531835206
2020-06-29T00:00:00,7,10.0,4.4,53,1532,0.351626016,0.377394636
2020-06-29T00:00:00,8,13.0,3.9,126,3001,0.374518051,0.50877193
2020-06-29T00:00:00,9,7.0,3.1,70,1952,0.428819444,0.524547804
2020-06-29T00:00:00,10,21.0,4.6,283,5097,0.317427206,0.432727273
2020-06-29T00:00:00,11,31.0,4.7,312,6183,0.357458076,0.451480781
2020-06-29T00:00:00,14,0.0,1.4,22,2077,,
2020-06-30T00:00:00,1,5.0,3.4,62,1697,0.490133897,0.69808542
2020-06-30T00:00:00,2,5.0,2.8,83,2696,0.451012589,0.472312704
2020-06-30T00:00:00,3,1.0,1.3,20,796,0.416228838,0.635416667
2020-06-30T00:00:00,4,2.0,4.7,70,1154,0.402745098,0.478371501
2020-06-30T00:00:00,5,1.0,2.1,28,963,0.521428571,0.570446735
2020-06-30T00:00:00,6,2.0,1.5,35,1425,0.440508629,0.496254682
