,deaths,cases,tests,percentage,percentage_lagged,fit
2020-11-26,116.0,10130.857142857143,95739.92857142857,0.10581642679312037,0.09652079534912043,113.63116788859122
2020-11-27,117.71428571428571,9869.92857142857,95263.57142857143,0.10360653525182012,0.10017245752859025,118.65524907434991
2020-11-28,119.14285714285714,9692.357142857143,95021.42857142857,0.10200180410433737,0.10462896203169626,124.7866597382889
2020-11-29,124.92857142857143,9549.214285714286,93763.85714285714,0.10184323231461408,0.1083916941243514,129.96355469315128
2020-11-30,125.0,9376.785714285714,92842.5,0.10099669563277286,0.11178066782198383,134.62622011960602
2020-12-01,127.85714285714286,9403.142857142857,91843.0,0.10238279299612227,0.11535876474445667,139.54908771948539
2020-12-02,129.28571428571428,9291.785714285714,91736.0,0.10128832425967683,0.1211537947442992,147.52208734601254
2020-12-03,130.92857142857142,9068.785714285714,90200.57142857143,0.10054022464222588,0.12154852268611209,148.06516749102292
2020-12-04,135.57142857142858,9003.0,90696.78571428571,0.09926481880362747,0.12382676798638934,151.19965496196633
2020-12-05,144.28571428571428,9134.857142857143,92648.07142857143,0.09859738040958373,0.12586923905396907,154.00975621415108
2020-12-06,145.64285714285714,9196.57142857143,96064.71428571429,0.09573308469142082,0.12941914031594645,158.89383126410303
2020-12-07,149.85714285714286,9199.285714285714,96129.57142857143,0.09569673075179778,0.1273716347738902,156.07680341048186
2020-12-08,151.14285714285714,9272.42857142857,97935.0,0.0946794156474046,0.12824404511684095,157.2770952706989
2020-12-09,150.42857142857142,8902.214285714286,96280.78571428571,0.09246096424816998,0.12293157460600815,149.96801742296435
2020-12-10,144.07142857142858,8714.07142857143,96835.85714285714,0.08998806522377337,0.12061328546295601,146.77843626941743
2020-12-11,143.5,8561.857142857143,95781.35714285714,0.08938959937774947,0.12047039792715705,146.5818467315563
2020-12-12,146.0,8336.92857142857,95756.92857142857,0.08706345008977344,0.11662196602751423,141.287043063689
2020-12-13,138.85714285714286,8170.857142857143,95340.71428571429,0.08570165646515879,0.11478032953212357,138.7532568554472
2020-12-14,139.07142857142858,8056.928571428572,95236.5,0.08459916703604786,0.11223676334359683,135.25373187081007
2020-12-15,139.78571428571428,7771.785714285715,95871.14285714286,0.0810649115330399,0.11122859613004349,133.8666610847475
2020-12-16,137.64285714285714,7652.428571428572,95081.07142857143,0.0804831966705105,0.10800496337780575,129.43147736173822
2020-12-17,134.42857142857142,7545.714285714285,94337.57142857143,0.0799863105594953,0.10848185735327737,130.08760433406303
2020-12-18,127.28571428571429,7255.428571428572,92938.0,0.07806740592038318,0.10770510014505465,129.01891531412176
2020-12-19,,,,,0.10553778585831378,126.03705050941471
2020-12-20,,,,,0.10379477349069251,123.63895473485371
2020-12-21,,,,,0.10581642679312037,126.42041419678276
2020-12-22,,,,,0.10360653525182012,123.37997015526253
2020-12-23,,,,,0.10200180410433737,121.17212639260657
2020-12-24,,,,,0.10184323231461408,120.95395792406094
2020-12-25,,,,,0.10099669563277286,119.78926392793929
2020-12-26,,,,,0.10238279299612227,121.69630388469798
2020-12-27,,,,,0.10128832425967683,120.1904965243975
2020-12-28,,,,,0.10054022464222588,119.16123559378909
2020-12-29,,,,,0.09926481880362747,117.40648880643994
2020-12-30,,,,,0.09859738040958373,116.48820433395485
2020-12-31,,,,,0.09573308469142082,112.54740873983425
2021-01-01,,,,,0.09569673075179778,112.49739175164865
2021-01-02,,,,,0.0946794156474046,111.09773498583249
2021-01-03,,,,,0.09246096424816998,108.04551400025574
2021-01-04,,,,,0.08998806522377337,104.64321530663562
2021-01-05,,,,,0.08938959937774947,103.81982561461206
2021-01-06,,,,,0.08706345008977344,100.61943020599756
2021-01-07,,,,,0.08570165646515879,98.74582816066652
2021-01-08,,,,,0.08459916703604786,97.228985658248
2021-01-09,,,,,0.0810649115330399,92.3664365763106
2021-01-10,,,,,0.0804831966705105,91.56609345784219
2021-01-11,,,,,0.0799863105594953,90.88246062459396
2021-01-12,,,,,0.07806740592038318,88.2423662728136
2021-01-13,,,,,,
2021-01-14,,,,,,
2021-01-15,,,,,,
2021-01-16,,,,,,
2021-01-17,,,,,,
2021-01-18,,,,,,
