Joy,"$14,201"
Junction,"$16,256"
Junction City,"$14,114"
Justice,"$20,714"
Kampsville,"$13,158"
Kane,"$11,325"
Kangley,"$15,505"
Kankakee,"$15,479"
Kansas,"$14,590"
Kappa,"$17,451"
Karnak,"$13,346"
Kaskaskia,$0
Keenes,"$9,034"
Keensburg,"$14,889"
Keithsburg,"$14,008"
Kell,"$17,002"
Kempton,"$12,641"
Kenilworth,"$97,381"
Kenney,"$18,553"
Kewanee,"$15,746"
Keyesport,"$14,028"
Kilbourne,"$10,710"
Kildeer,"$51,973"
Kincaid,"$16,553"
Kinderhook,"$16,328"
Kingston,"$21,432"
Kingston Mines,"$14,908"
Kinmundy,"$15,279"
Kinsman,"$20,011"
Kirkland,"$18,841"
Kirkwood,"$15,040"
Knoxville,"$18,643"
La Fayette,"$15,002"
La Grange,"$34,887"
La Grange Park,"$30,247"
La Harpe,"$15,586"
La Moille,"$17,008"
La Prairie,"$8,844"
La Rose,"$17,480"
La Salle,"$19,099"
Lacon,"$18,309"
Ladd,"$21,696"
Lake Barrington,"$63,158"
Lake Bluff,"$54,824"
Lake Catherine,"$23,401"
Lake Forest,"$86,004"
Lake in the Hills,"$26,239"
Lake of the Woods,"$19,938"
Lake Summerset,"$27,160"
Lake Villa,"$26,238"
Lake Zurich,"$30,287"
Lakemoor,"$22,499"
Lakewood,"$44,579"
Lakewood Shores,"$18,414"
Lanark,"$17,518"
Lansing,"$22,547"
Latham,"$16,917"
Lawrenceville,"$16,717"
Le Roy,"$20,743"
Leaf River,"$15,620"
Lebanon,"$17,125"
Lee,"$19,709"
Leland,"$17,142"
Leland Grove,"$51,714"
Lemont,"$28,354"
Lena,"$18,613"
Lenzburg,"$13,505"
Leonore,"$19,465"
Lerna,"$19,596"
Lewistown,"$15,620"
Lexington,"$20,898"
Liberty,"$16,565"
Libertyville,"$43,279"
Lily Lake,"$29,611"
Lima,"$13,825"
Lincoln,"$17,207"
Lincolnshire,"$67,084"
Lincolnwood,"$35,911"
Lindenhurst,"$27,534"
Lisbon,"$21,456"
Lisle,"$35,693"
Litchfield,"$14,612"
Little York,"$15,121"
Littleton,"$14,670"
Liverpool,"$11,848"
Livingston,"$16,291"
Loami,"$17,661"
Lockport,"$24,939"
Loda,"$18,877"
Lomax,"$14,066"
Lombard,"$27,667"
London Mills,"$16,453"
Long Creek,"$23,141"
Long Grove,"$62,185"
Long Lake,"$21,034"
Long Point,"$16,416"
Longview,"$12,116"
Loraine,"$17,333"
Lostant,"$18,782"
Louisville,"$13,119"
Loves Park,"$20,781"
Lovington,"$17,311"
Ludlow,"$19,507"
Lyndon,"$16,870"
Lynnville,"$14,919"
Lynwood,"$22,650"
Lyons,"$20,172"
Macedonia,"$11,465"
Machesney Park,"$19,685"
Mackinaw,"$19,279"
Macomb,"$13,470"
Macon,"$18,029"
Madison,"$13,090"
