,count,count,count,tested,tested,tested,7daypos100k,7daypos100k,7daypos100k,percentage,percentage,percentage,count_14day,count_14day,count_14day,tested_14day,tested_14day,tested_14day,percentage_14day,percentage_14day,percentage_14day,7daypos100k_14day,7daypos100k_14day,7daypos100k_14day,population,population,population
zip,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304,60301,60302,60304
date,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-15,1.0,0.0,1.0,5.0,113.0,62.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-16,2.0,5.0,0.0,12.0,110.0,68.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-17,1.0,0.0,1.0,5.0,122.0,53.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-18,2.0,5.0,1.0,15.0,162.0,83.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-19,0.0,4.0,1.0,8.0,101.0,51.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-20,-1.0,2.0,1.0,9.0,109.0,58.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-21,0.0,4.0,2.0,2.0,77.0,48.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-22,0.0,3.0,1.0,7.0,90.0,68.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-23,0.0,2.0,1.0,5.0,113.0,63.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-24,0.0,3.0,2.0,8.0,146.0,77.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-25,0.0,6.0,1.0,6.0,116.0,69.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
2020-07-26,0.0,4.0,1.0,6.0,140.0,81.0,,,,0,0,0,,,,,,,0,0,0,,,,2536.0,32048.0,17641.0
