date,count,tested,percentage,count_14day,tested_14day,percentage_14day,Unknown tested,Unknown count,Unknown percentage,<20 tested,<20 count,<20 percentage,20-29 tested,20-29 count,20-29 percentage,30-39 tested,30-39 count,30-39 percentage,40-49 tested,40-49 count,40-49 percentage,50-59 tested,50-59 count,50-59 percentage,60-69 tested,60-69 count,60-69 percentage,70-79 tested,70-79 count,70-79 percentage,80+ tested,80+ count,80+ percentage,Unknown tested_14day,Unknown count_14day,Unknown percentage_14day,<20 tested_14day,<20 count_14day,<20 percentage_14day,20-29 tested_14day,20-29 count_14day,20-29 percentage_14day,30-39 tested_14day,30-39 count_14day,30-39 percentage_14day,40-49 tested_14day,40-49 count_14day,40-49 percentage_14day,50-59 tested_14day,50-59 count_14day,50-59 percentage_14day,60-69 tested_14day,60-69 count_14day,60-69 percentage_14day,70-79 tested_14day,70-79 count_14day,70-79 percentage_14day,80+ tested_14day,80+ count_14day,80+ percentage_14day
2020-05-15,7.0,85.0,0.08235294117647059,4.642857142857143,55.642857142857146,0.0834403080872914,0.0,0.0,,7.0,0.0,0.0,11.0,1.0,0.09090909090909091,13.0,2.0,0.15384615384615385,12.0,1.0,0.08333333333333333,12.0,2.0,0.16666666666666666,10.0,0.0,0.0,10.0,1.0,0.1,14.0,1.0,0.07142857142857142,0.0,0.0,,4.928571428571429,0.0,0.0,7.142857142857143,1.1428571428571428,0.15999999999999998,8.0,1.5,0.1875,8.0,0.8571428571428571,0.10714285714285714,8.857142857142858,0.8571428571428571,0.09677419354838708,7.714285714285714,0.35714285714285715,0.046296296296296294,5.857142857142857,0.2857142857142857,0.04878048780487805,5.5,0.35714285714285715,0.06493506493506494
2020-05-16,6.0,87.0,0.06896551724137931,4.571428571428571,60.214285714285715,0.07591933570581257,0.0,0.0,,7.0,0.0,0.0,10.0,1.0,0.1,13.0,2.0,0.15384615384615385,11.0,1.0,0.09090909090909091,11.0,2.0,0.18181818181818182,11.0,0.0,0.0,9.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,,5.357142857142857,0.0,0.0,7.571428571428571,1.2142857142857142,0.16037735849056603,8.785714285714286,1.5714285714285714,0.17886178861788615,8.785714285714286,0.8571428571428571,0.09756097560975609,9.428571428571429,0.9285714285714286,0.09848484848484848,8.0,0.21428571428571427,0.026785714285714284,6.214285714285714,0.21428571428571427,0.034482758620689655,6.357142857142857,0.35714285714285715,0.05617977528089888
2020-05-17,4.0,46.0,0.08695652173913043,4.642857142857143,59.785714285714285,0.07765830346475508,0.0,0.0,,2.0,0.0,0.0,8.0,2.0,0.25,7.0,1.0,0.14285714285714285,8.0,0.0,0.0,10.0,1.0,0.1,4.0,0.0,0.0,6.0,0.0,0.0,3.0,-1.0,-0.3333333333333333,0.0,0.0,,5.285714285714286,0.0,0.0,7.642857142857143,1.2857142857142858,0.16822429906542055,8.642857142857142,1.5,0.17355371900826447,8.714285714285714,0.7857142857142857,0.09016393442622951,9.5,1.0,0.10526315789473684,7.714285714285714,0.21428571428571427,0.027777777777777776,6.357142857142857,0.21428571428571427,0.033707865168539325,6.428571428571429,0.2857142857142857,0.04444444444444444
2020-05-18,3.0,46.0,0.06521739130434782,4.642857142857143,59.42857142857143,0.078125,0.0,0.0,,2.0,0.0,0.0,8.0,3.0,0.375,5.0,-1.0,-0.2,8.0,0.0,0.0,10.0,2.0,0.2,5.0,0.0,0.0,5.0,-1.0,-0.2,1.0,0.0,0.0,0.0,0.0,,5.142857142857143,0.0,0.0,7.642857142857143,1.4285714285714286,0.18691588785046728,8.357142857142858,1.2857142857142858,0.15384615384615385,8.714285714285714,0.7857142857142857,0.09016393442622951,9.571428571428571,1.1428571428571428,0.11940298507462686,7.5,0.21428571428571427,0.02857142857142857,6.357142857142857,0.14285714285714285,0.02247191011235955,6.357142857142857,0.2857142857142857,0.0449438202247191
2020-05-19,4.0,117.0,0.03418803418803419,4.642857142857143,64.14285714285714,0.07238307349665925,0.0,0.0,,6.0,0.0,0.0,13.0,0.0,0.0,11.0,1.0,0.09090909090909091,11.0,1.0,0.09090909090909091,20.0,1.0,0.05,12.0,0.0,0.0,15.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,,5.285714285714286,0.0,0.0,7.928571428571429,1.4285714285714286,0.18018018018018017,8.571428571428571,1.2142857142857142,0.14166666666666666,8.928571428571429,0.7857142857142857,0.088,10.428571428571429,1.2857142857142858,0.12328767123287672,7.857142857142857,0.07142857142857142,0.00909090909090909,7.0,0.14285714285714285,0.02040816326530612,8.571428571428571,0.21428571428571427,0.024999999999999998
2020-05-20,5.0,119.0,0.04201680672268908,4.785714285714286,68.92857142857143,0.0694300518134715,0.0,0.0,,5.0,0.0,0.0,11.0,-1.0,-0.09090909090909091,11.0,0.0,0.0,11.0,0.0,0.0,19.0,2.0,0.10526315789473684,11.0,1.0,0.09090909090909091,15.0,0.0,0.0,33.0,1.0,0.030303030303030304,0.0,0.0,,5.428571428571429,0.0,0.0,8.214285714285714,1.2857142857142858,0.1565217391304348,8.714285714285714,1.0714285714285714,0.12295081967213116,9.071428571428571,0.7142857142857143,0.07874015748031496,11.142857142857142,1.4285714285714286,0.12820512820512822,8.071428571428571,0.14285714285714285,0.017699115044247787,7.785714285714286,0.14285714285714285,0.018348623853211007,10.785714285714286,0.2857142857142857,0.02649006622516556
2020-05-21,4.0,119.0,0.03361344537815126,4.785714285714286,74.0,0.06467181467181467,0.0,0.0,,6.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,11.0,1.0,0.09090909090909091,17.0,2.0,0.11764705882352941,12.0,1.0,0.08333333333333333,15.0,0.0,0.0,33.0,1.0,0.030303030303030304,0.0,0.0,,5.428571428571429,0.0,0.0,8.428571428571429,0.8571428571428571,0.10169491525423728,9.071428571428571,1.0,0.11023622047244094,9.714285714285714,0.7857142857142857,0.08088235294117647,11.785714285714286,1.5,0.12727272727272726,8.5,0.21428571428571427,0.025210084033613443,8.285714285714286,0.07142857142857142,0.008620689655172412,12.857142857142858,0.35714285714285715,0.027777777777777776
2020-05-22,4.0,117.0,0.03418803418803419,4.857142857142857,79.57142857142857,0.06104129263913824,0.0,0.0,,6.0,0.0,0.0,13.0,0.0,0.0,11.0,1.0,0.09090909090909091,11.0,1.0,0.09090909090909091,20.0,1.0,0.05,12.0,0.0,0.0,15.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,,5.5,0.0,0.0,9.142857142857142,0.7857142857142857,0.0859375,9.571428571428571,1.0714285714285714,0.11194029850746269,9.928571428571429,0.8571428571428571,0.08633093525179855,12.642857142857142,1.5,0.11864406779661017,8.928571428571429,0.21428571428571427,0.023999999999999997,9.071428571428571,0.07142857142857142,0.007874015748031496,14.928571428571429,0.2857142857142857,0.019138755980861243
2020-05-23,3.0,68.0,0.04411764705882353,4.785714285714286,81.64285714285714,0.05861767279090114,0.0,0.0,,6.0,2.0,0.3333333333333333,9.0,1.0,0.1111111111111111,12.0,0.0,0.0,10.0,1.0,0.1,13.0,1.0,0.07692307692307693,9.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,5.642857142857143,0.14285714285714285,0.025316455696202528,9.5,0.8571428571428571,0.09022556390977443,10.071428571428571,1.0,0.09929078014184398,10.142857142857142,0.7857142857142857,0.07746478873239437,12.928571428571429,1.5,0.11602209944751381,9.142857142857142,0.21428571428571427,0.0234375,9.357142857142858,0.07142857142857142,0.007633587786259541,15.071428571428571,0.2857142857142857,0.01895734597156398
2020-05-24,5.0,67.0,0.07462686567164178,4.857142857142857,83.57142857142857,0.058119658119658114,0.0,0.0,,6.0,2.0,0.3333333333333333,7.0,0.0,0.0,12.0,1.0,0.08333333333333333,11.0,1.0,0.09090909090909091,11.0,0.0,0.0,8.0,0.0,0.0,6.0,1.0,0.16666666666666666,4.0,1.0,0.25,0.0,0.0,,5.785714285714286,0.2857142857142857,0.04938271604938271,9.714285714285714,0.7857142857142857,0.08088235294117647,10.642857142857142,0.9285714285714286,0.08724832214765102,10.357142857142858,0.7857142857142857,0.07586206896551724,13.142857142857142,1.5,0.1141304347826087,9.357142857142858,0.21428571428571427,0.022900763358778622,9.571428571428571,0.14285714285714285,0.014925373134328358,15.142857142857142,0.35714285714285715,0.02358490566037736
