,deaths,deaths,deaths,count,count,count,tested,tested,tested,percentage,percentage,percentage,deaths_per_million,deaths_per_million,deaths_per_million,deaths_7day,deaths_7day,deaths_7day,count_7day,count_7day,count_7day,tested_7day,tested_7day,tested_7day,percentage_7day,percentage_7day,percentage_7day,deaths_per_million_7day,deaths_per_million_7day,deaths_per_million_7day,deaths_14day,deaths_14day,deaths_14day,count_14day,count_14day,count_14day,tested_14day,tested_14day,tested_14day,percentage_14day,percentage_14day,percentage_14day,deaths_per_million_14day,deaths_per_million_14day,deaths_per_million_14day,population,population,population
region,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-11,70.0,68.0,2.0,1368.0,1279.0,91.0,6124.0,0.0,0.0,0.22338340953625083,inf,inf,5.555555555555555,7.496056853622734,0.5647460125401852,60.42857142857143,57.57142857142857,2.857142857142857,1271.142857142857,1170.142857142857,98.42857142857143,5724.285714285715,0.0,0.0,0.22206139256301471,inf,inf,4.795918367346939,6.346451495819247,0.8067800179145503,44.214285714285715,41.92857142857143,2.2142857142857144,1126.0,1043.0714285714287,77.64285714285714,4873.0,0.0,0.0,0.23106915657705726,inf,inf,3.5090702947845807,4.6220434591140185,0.6252545138837765,12600000.0,9071436.0,3541415.0
2020-04-12,72.0,70.0,2.0,1270.0,1203.0,83.0,5579.0,0.0,0.0,0.22763936189281234,inf,inf,5.714285714285714,7.716529114023403,0.5647460125401852,66.28571428571429,63.42857142857143,2.857142857142857,1324.142857142857,1222.7142857142858,101.28571428571429,5749.571428571428,0.0,0.0,0.23030287971774294,inf,inf,5.26077097505669,6.992120258421206,0.8067800179145503,48.07142857142857,45.857142857142854,2.142857142857143,1137.7857142857142,1054.142857142857,79.71428571428571,5104.857142857143,0.0,0.0,0.22288296860133205,inf,inf,3.815192743764172,5.055113970615331,0.6050850134359127,12600000.0,9071436.0,3541415.0
2020-04-13,74.0,72.0,2.0,1173.0,1128.0,76.0,5033.0,0.0,0.0,0.233061792171667,inf,inf,5.873015873015873,7.937001374424072,0.5647460125401852,72.14285714285714,69.0,3.142857142857143,1348.0,1252.142857142857,101.57142857142857,5903.0,0.0,0.0,0.2283584617990852,inf,inf,5.725623582766439,7.606292983823068,0.8874580197060052,52.857142857142854,50.57142857142857,2.2142857142857144,1188.7142857142858,1104.2142857142858,82.78571428571429,5272.642857142857,0.0,0.0,0.2254494222198139,inf,inf,4.19501133786848,5.574798584416906,0.6252545138837765,12600000.0,9071436.0,3541415.0
2020-04-14,74.0,69.0,5.0,1222.0,1164.0,70.0,4848.0,0.0,0.0,0.25206270627062705,inf,inf,5.873015873015873,7.606292983823068,1.411865031350463,72.28571428571429,69.28571428571429,3.0,1338.7142857142858,1248.142857142857,96.28571428571429,5768.428571428572,0.0,0.0,0.23207607915005324,inf,inf,5.736961451247167,7.637789021023165,0.8471190188102778,56.285714285714285,53.857142857142854,2.357142857142857,1209.0,1123.2857142857142,85.5,5277.571428571428,0.0,0.0,0.2290826408250548,inf,inf,4.467120181405895,5.937003012218005,0.665593514779504,12600000.0,9071436.0,3541415.0
2020-04-15,80.0,71.0,9.0,1346.0,1277.0,78.0,6313.0,0.0,0.0,0.21321083478536354,inf,inf,6.349206349206349,7.826765244223737,2.5413570564308334,72.0,68.28571428571429,3.7142857142857144,1312.5714285714287,1230.0,90.14285714285714,5765.428571428572,0.0,0.0,0.22766242132910453,inf,inf,5.714285714285714,7.527552890822831,1.0488140232889154,58.92857142857143,55.92857142857143,2.9285714285714284,1234.7142857142858,1149.2142857142858,86.5,5360.0,0.0,0.0,0.23035714285714287,inf,inf,4.67687074829932,6.165349281918699,0.8269495183624139,12600000.0,9071436.0,3541415.0
2020-04-16,124.0,113.0,11.0,1140.0,1058.0,72.0,5660.0,0.0,0.0,0.20141342756183744,inf,inf,9.841269841269842,12.456682712637779,3.1061030689710187,80.28571428571429,75.57142857142857,4.714285714285714,1283.4285714285713,1209.0,81.14285714285714,5746.714285714285,0.0,0.0,0.22333258756556543,inf,inf,6.371882086167801,8.330701839425265,1.331187029559008,66.64285714285714,63.0,3.642857142857143,1265.0714285714287,1178.9285714285713,87.28571428571429,5530.571428571428,0.0,0.0,0.2287415405279744,inf,inf,5.289115646258503,6.944876202621062,1.0286445228410517,12600000.0,9071436.0,3541415.0
2020-04-17,62.0,53.0,7.0,1842.0,1752.0,71.0,7574.0,0.0,0.0,0.24320042249801954,inf,inf,4.920634920634921,5.8425149006177195,1.9766110438906481,79.42857142857143,73.71428571428571,5.428571428571429,1337.2857142857142,1265.857142857143,77.28571428571429,5875.857142857143,0.0,0.0,0.2275898956991077,inf,inf,6.303854875283447,8.125977597624644,1.5328820340376457,67.28571428571429,63.07142857142857,4.071428571428571,1310.2857142857142,1218.642857142857,88.78571428571429,5757.857142857143,0.0,0.0,0.22756481826076166,inf,inf,5.3401360544217695,6.952750211921086,1.149661525528234,12600000.0,9071436.0,3541415.0
2020-04-18,125.0,120.0,5.0,1585.0,1432.0,143.0,7241.0,0.0,0.0,0.2188924181742853,inf,inf,9.920634920634921,13.228335624040119,1.411865031350463,87.28571428571429,81.14285714285714,5.857142857142857,1368.2857142857142,1287.7142857142858,84.71428571428571,6035.428571428572,0.0,0.0,0.22670895663700055,inf,inf,6.927437641723357,8.944874564827128,1.6538990367248279,73.85714285714286,69.35714285714286,4.357142857142857,1319.7142857142858,1228.9285714285713,91.57142857142857,5879.857142857143,0.0,0.0,0.22444665808207195,inf,inf,5.861678004535148,7.645663030323188,1.2303395273196889,12600000.0,9071436.0,3541415.0
2020-04-19,31.0,28.0,3.0,1197.0,1093.0,73.0,5914.0,0.0,0.0,0.202401082177883,inf,inf,2.4603174603174605,3.086611645609361,0.8471190188102778,81.42857142857143,75.14285714285714,6.0,1357.857142857143,1272.0,83.28571428571429,6083.285714285715,0.0,0.0,0.2232111405960125,inf,inf,6.462585034013606,8.28345778362512,1.6942380376205557,73.85714285714286,69.28571428571429,4.428571428571429,1341.0,1247.357142857143,92.28571428571429,5916.428571428572,0.0,0.0,0.2266570083303151,inf,inf,5.861678004535148,7.637789021023165,1.250509027767553,12600000.0,9071436.0,3541415.0
2020-04-20,59.0,53.0,7.0,1151.0,1080.0,56.0,5040.0,0.0,0.0,0.22837301587301587,inf,inf,4.682539682539683,5.8425149006177195,1.9766110438906481,79.28571428571429,72.42857142857143,6.714285714285714,1354.7142857142858,1265.142857142857,80.42857142857143,6084.285714285715,0.0,0.0,0.22265790091570792,inf,inf,6.292517006802722,7.984245430224215,1.8959330420991933,75.71428571428571,70.71428571428571,4.928571428571429,1351.357142857143,1258.642857142857,91.0,5993.642857142857,0.0,0.0,0.2254650760925266,inf,inf,6.009070294784579,7.79526920702364,1.3916955309025993,12600000.0,9071436.0,3541415.0
2020-04-21,119.0,114.0,5.0,1551.0,1379.0,110.0,6639.0,0.0,0.0,0.23361952101220063,inf,inf,9.444444444444445,12.566918842838113,1.411865031350463,85.71428571428571,78.85714285714286,6.714285714285714,1401.7142857142858,1295.857142857143,86.14285714285714,6340.142857142857,0.0,0.0,0.2210855996935626,inf,inf,6.802721088435373,8.692906267226364,1.8959330420991933,79.0,74.07142857142857,4.857142857142857,1370.2142857142858,1272.0,91.21428571428571,6054.285714285715,0.0,0.0,0.22632137800849456,inf,inf,6.26984126984127,8.165347644124763,1.3715260304547352,12600000.0,9071436.0,3541415.0
2020-04-22,97.0,89.0,9.0,2049.0,1795.0,217.0,9349.0,0.0,0.0,0.21916782543587549,inf,inf,7.698412698412699,9.811015587829754,2.5413570564308334,88.14285714285714,81.42857142857143,6.714285714285714,1502.142857142857,1369.857142857143,106.0,6773.857142857143,0.0,0.0,0.22175591032751965,inf,inf,6.995464852607709,8.976370602027224,1.8959330420991933,80.07142857142857,74.85714285714286,5.214285714285714,1407.357142857143,1299.9285714285713,98.07142857142857,6269.642857142857,0.0,0.0,0.2244716604955853,inf,inf,6.354875283446711,8.251961746425028,1.4723735326940544,12600000.0,9071436.0,3541415.0
2020-04-23,123.0,119.0,5.0,1826.0,1745.0,118.0,8970.0,0.0,0.0,0.20356744704570792,inf,inf,9.761904761904763,13.118099493839784,1.411865031350463,88.0,82.28571428571429,5.857142857142857,1600.142857142857,1468.0,112.57142857142857,7246.714285714285,0.0,0.0,0.2208094308750764,inf,inf,6.984126984126984,9.070858713627512,1.6538990367248279,84.14285714285714,78.92857142857143,5.285714285714286,1441.7857142857142,1338.5,96.85714285714286,6496.714285714285,0.0,0.0,0.22192536886777933,inf,inf,6.678004535147392,8.700780276526388,1.492543033141918,12600000.0,9071436.0,3541415.0
2020-04-24,107.0,101.0,5.0,2724.0,2478.0,220.0,12903.0,0.0,0.0,0.21111369448965356,inf,inf,8.492063492063492,11.133849150233766,1.411865031350463,94.42857142857143,89.14285714285714,5.571428571428571,1726.142857142857,1571.7142857142858,133.85714285714286,8008.0,0.0,0.0,0.21555230483801913,inf,inf,7.494331065759638,9.826763606429802,1.5732210349333728,86.92857142857143,81.42857142857143,5.5,1531.7142857142858,1418.7857142857142,105.57142857142857,6941.928571428572,0.0,0.0,0.2206467943243438,inf,inf,6.899092970521543,8.976370602027224,1.5530515344855094,12600000.0,9071436.0,3541415.0
2020-04-25,79.0,69.0,11.0,2119.0,1938.0,125.0,15398.0,0.0,0.0,0.13761527471100143,inf,inf,6.26984126984127,7.606292983823068,3.1061030689710187,87.85714285714286,81.85714285714286,6.428571428571429,1802.4285714285713,1644.0,131.28571428571428,9173.285714285714,0.0,0.0,0.19648669272577204,inf,inf,6.972789115646259,9.023614657827368,1.8152550403077383,87.57142857142857,81.5,6.142857142857143,1585.357142857143,1465.857142857143,108.0,7604.357142857143,0.0,0.0,0.2084801006941509,inf,inf,6.950113378684807,8.984244611327247,1.7345770385162833,12600000.0,9071436.0,3541415.0
2020-04-26,59.0,56.0,3.0,2126.0,1927.0,165.0,13335.0,0.0,0.0,0.15943007124109487,inf,inf,4.682539682539683,6.173223291218722,0.8471190188102778,91.85714285714286,85.85714285714286,6.428571428571429,1935.142857142857,1763.142857142857,144.42857142857142,10233.42857142857,0.0,0.0,0.18910014797442556,inf,inf,7.290249433106577,9.464559178628704,1.8152550403077383,86.64285714285714,80.5,6.214285714285714,1646.5,1517.5714285714287,113.85714285714286,8158.357142857143,0.0,0.0,0.20181759282768763,inf,inf,6.87641723356009,8.874008481126912,1.754746538964147,12600000.0,9071436.0,3541415.0
2020-04-27,50.0,40.0,10.0,1980.0,1864.0,86.0,12676.0,0.0,0.0,0.15620069422530766,inf,inf,3.9682539682539684,4.409445208013373,2.823730062700926,90.57142857142857,84.0,6.857142857142857,2053.5714285714284,1875.142857142857,148.71428571428572,11324.285714285714,0.0,0.0,0.1813422480131197,inf,inf,7.188208616780045,9.259834936828083,1.9362720429949205,84.92857142857143,78.21428571428571,6.785714285714286,1704.142857142857,1570.142857142857,114.57142857142857,8704.285714285714,0.0,0.0,0.1957820449696373,inf,inf,6.740362811791384,8.622040183526147,1.9161025425470568,12600000.0,9071436.0,3541415.0
