,deaths,cases,tests,percentage,percentage_lagged,fit
2020-09-13,859.4285714285714,38172.142857142855,851021.1428571428,0.04485451763159149,,
2020-09-14,819.2857142857143,39062.57142857143,874447.8571428572,0.044671127168409125,,
2020-09-15,803.0,39375.57142857143,895411.8571428572,0.04397481573922168,,
2020-09-16,793.0,39921.0,916855.1428571428,0.04354122928906358,,
2020-09-17,783.7142857142857,40057.28571428572,947019.2857142857,0.04229827873470672,0.05298375234694858,1087.1711828868358
2020-09-18,765.7142857142857,40855.857142857145,933985.4285714285,0.04374357018111938,0.052694869029803165,1077.7470128821683
2020-09-19,740.7142857142857,42885.57142857143,941493.2857142857,0.04555058658335019,0.051909127063455796,1052.1139443345244
2020-09-20,735.8571428571429,42768.28571428572,965894.0,0.0442784464074585,0.05169106520838483,1045.0001656157367
2020-09-21,744.1428571428571,42725.28571428572,969219.8571428572,0.0440821402898561,0.0521984906078828,1061.553780676685
2020-09-22,736.4285714285714,43917.857142857145,977263.0,0.044939649964090674,0.05226711308813649,1063.792435114896
2020-09-23,754.4285714285714,44146.42857142857,975029.1428571428,0.04527703494283834,0.05204185278496161,1056.4438231791144
2020-09-24,752.0,44068.857142857145,966244.7142857143,0.04560838107708,0.051621740910634095,1042.7386159564733
2020-09-25,747.0,43528.0,1003741.2857142857,0.04336575631540797,0.05066405537070575,1011.4962741401293
2020-09-26,727.7142857142857,41782.28571428572,1015898.1428571428,0.04112842021423127,0.050573370191118676,1008.5378736420412
2020-09-27,714.5714285714286,42555.28571428572,1009172.4285714285,0.042168498176794654,0.05075427459442581,1014.4394738736016
2020-09-28,703.7142857142857,42895.142857142855,1008808.4285714285,0.042520603161381766,0.048189290917647315,930.7626369138916
2020-09-29,703.0,42065.142857142855,1024390.4285714285,0.04106358443411573,0.047866853405266016,920.2438365809744
2020-09-30,683.7142857142857,42580.28571428572,1019120.2857142857,0.04178141315717394,0.04747027762198213,907.3064415166546
2020-10-01,693.7142857142857,43033.857142857145,1031838.1428571428,0.041706015076838604,0.04708118685514632,894.6132283185341
2020-10-02,705.8571428571429,43373.28571428572,1026138.1428571428,0.04226846649859314,0.04676832270885921,884.4067375730313
2020-10-03,690.0,43670.42857142857,1021360.0,0.042757136143405435,0.046555100241091635,877.4508330060505
2020-10-04,670.7142857142857,44571.42857142857,1033939.0,0.04310837348376313,0.04492358776150918,824.2263992649298
2020-10-05,687.4285714285714,45941.142857142855,1064872.5714285714,0.04314238537998108,0.04538575384109404,839.3035305698361
2020-10-06,697.5714285714286,47022.0,1065796.5714285714,0.04411911359122942,0.04483592165941097,821.3664893954922
2020-10-07,690.8571428571429,47987.857142857145,1091069.142857143,0.043982416198842446,0.04487704590090354,822.708075496651
2020-10-08,703.8571428571429,49203.142857142855,1100217.142857143,0.04472130176900144,0.04419096210859268,800.3261312567565
2020-10-09,697.2857142857143,49986.28571428572,1105089.0,0.04523281447402491,0.04435140219011138,805.5601289092892
2020-10-10,712.2857142857143,51148.142857142855,1126783.5714285714,0.04539304987584763,0.04368422112411703,783.7948437001717
2020-10-11,694.0,52008.71428571428,1133426.4285714286,0.045886272787256335,0.043949514330562295,792.4494392764368
2020-10-12,686.7142857142857,53199.142857142855,1125856.2857142857,0.047252161339039214,0.04485451763159149,821.9731412608994
2020-10-13,683.5714285714286,54843.71428571428,1124591.0,0.04876769802151563,0.044671127168409125,815.9904389043097
2020-10-14,696.2857142857143,54849.42857142857,1135401.5714285714,0.04830839585893525,0.04397481573922168,793.2748409608253
2020-10-15,686.8571428571429,55033.0,1131376.857142857,0.048642501084014196,0.04354122928906358,779.1300559369354
2020-10-16,709.4285714285714,57092.42857142857,1144673.2857142857,0.04987661482446707,0.04229827873470672,738.5815831230548
2020-10-17,725.8571428571429,59034.57142857143,1132008.7142857143,0.05215028001425027,0.04374357018111938,785.730973513183
2020-10-18,758.2857142857143,59673.142857142855,1123156.5714285714,0.05312985239559527,0.04555058658335019,844.6808289223593
2020-10-19,785.2857142857143,61070.0,1141074.2857142857,0.0535197407956412,0.0442784464074585,803.1801102036807
2020-10-20,793.5714285714286,63080.0,1165803.4285714286,0.054108607381004196,0.0440821402898561,796.7760636027137
2020-10-21,810.1428571428571,66811.0,1166101.857142857,0.05729430888970371,0.044939649964090674,824.7503925826236
2020-10-22,808.1428571428571,69170.14285714286,1186829.857142857,0.05828143136174652,0.04527703494283834,835.7568204655413
2020-10-23,801.5714285714286,69995.85714285714,1200056.5714285714,0.058327131244765136,0.04560838107708,846.5662445968449
2020-10-24,814.2857142857143,71664.57142857143,1214562.5714285714,0.05900442934305097,0.04336575631540797,773.4056439103226
2020-10-25,817.0,74234.57142857143,1235598.0,0.06007987341236505,0.04112842021423127,700.417573905383
2020-10-26,808.8571428571429,76512.57142857143,1247843.7142857143,0.061315828699244165,0.042168498176794654,734.3477836321406
2020-10-27,808.5714285714286,78707.85714285714,1247302.0,0.06310248612032783,0.042520603161381766,745.8344186757604
2020-10-28,817.4285714285714,79779.57142857143,1260752.5714285714,0.06327932477517964,0.04106358443411573,698.3024520623087
2020-10-29,820.1428571428571,90851.28571428571,1252467.7142857143,0.07253782646692689,0.04178141315717394,721.7200034362722
2020-10-30,831.2857142857143,93711.85714285714,1266168.142857143,0.07401217418990955,0.041706015076838604,719.2603102489772
2020-10-31,916.2857142857143,96248.57142857143,1282306.4285714286,0.07505894791138067,0.04226846649859314,737.6090258146926
2020-11-01,928.2857142857143,99877.71428571429,1298144.142857143,0.07693884753498098,0.042757136143405435,753.5507764645347
2020-11-02,941.7142857142857,104053.42857142857,1333567.2857142857,0.07802638058543514,0.04310837348376313,765.0091065620527
2020-11-03,975.7142857142857,108479.71428571429,1371528.142857143,0.0790940491091428,0.04314238537998108,766.1186683578198
2020-11-04,999.5714285714286,114243.0,1369814.142857143,0.08340036536760617,0.04411911359122942,797.9822345966606
2020-11-05,1014.2857142857143,109998.14285714286,1383362.857142857,0.07951503272563547,0.043982416198842446,793.5227889014939
2020-11-06,1028.857142857143,114966.71428571429,1405096.0,0.08182125227437434,0.04472130176900144,817.6272726632499
2020-11-07,1006.1428571428571,121125.42857142857,1423762.857142857,0.08507415962128524,0.04523281447402491,834.3142268955773
2020-11-08,1069.857142857143,127357.85714285714,1449743.0,0.08784857532877009,0.04539304987584763,839.5415473323035
2020-11-09,1063.857142857143,132852.2857142857,1444074.0,0.09199825335425034,0.045886272787256335,855.6318380879056
2020-11-10,1080.4285714285713,139284.85714285713,1449344.7142857143,0.09610195267555889,0.047252161339039214,900.1908872106735
2020-11-11,1113.0,144362.85714285713,1492341.4285714286,0.09673581016982899,0.04876769802151563,949.6318708060596
2020-11-12,1141.4285714285713,149315.85714285713,1541061.4285714286,0.09689156731492116,0.04830839585893525,934.6481683671614
2020-11-13,1145.7142857142858,153812.57142857142,1552544.142857143,0.09907130314859232,0.048642501084014196,945.5476016459847
2020-11-14,1173.5714285714287,157513.14285714287,1589784.7142857143,0.0990782849034456,0.04987661482446707,985.8077932349274
2020-11-15,1217.5714285714287,160204.85714285713,1617438.5714285714,0.0990484955489588,0.05215028001425027,1059.9810182378274
2020-11-16,1345.857142857143,164506.7142857143,1651093.4285714286,0.09963501243418431,0.05312985239559527,1091.9373691441178
2020-11-17,1432.857142857143,167726.7142857143,1685358.5714285714,0.09951989869048639,0.0535197407956412,1104.6566033359318
2020-11-18,1461.142857142857,170015.0,1734933.4285714286,0.09799511450995155,0.054108607381004196,1123.8670543421258
2020-11-19,1491.2857142857142,171001.57142857142,1764698.7142857143,0.09690128407997771,0.05729430888970371,1227.7934177568634
2020-11-20,1526.4285714285713,171697.2857142857,1795355.142857143,0.09563416263204907,0.05828143136174652,1259.9960734307324
2020-11-21,1603.2857142857142,172586.42857142858,1825052.4285714286,0.09456518939925561,0.058327131244765136,1261.4869295695244
2020-11-22,1659.857142857143,175458.42857142858,1850174.857142857,0.09483343041553448,0.05900442934305097,1283.5822602558253
2020-11-23,1571.5714285714287,167157.57142857142,1782309.2857142857,0.0937870731911609,0.06007987341236505,1318.6662098583058
2020-11-24,1499.2857142857142,167409.7142857143,1797170.857142857,0.09315180780967165,0.061315828699244165,1358.98647776721
2020-11-25,1455.2857142857142,162818.7142857143,1735075.142857143,0.09383957516537365,0.06310248612032783,1417.2721670994094
2020-11-26,1441.2857142857142,160408.85714285713,1665898.857142857,0.09628967356275789,0.06327932477517964,1423.0411314106343
2020-11-27,1467.5714285714287,159685.2857142857,1646446.5714285714,0.09698783336511896,0.07253782646692689,1725.078974210691
2020-11-28,1524.4285714285713,161669.0,1596503.142857143,0.10126444205469776,0.07401217418990955,1773.1762604253488
2020-11-29,1600.142857142857,163678.85714285713,1558054.2857142857,0.10505337242971545,0.07505894791138067,1807.3249042620448
2020-11-30,1804.4285714285713,175927.7142857143,1638324.0,0.10738273643413286,0.07693884753498098,1868.6524112277773
2020-12-01,1970.0,180302.7142857143,1612281.857142857,0.11183076549979343,0.07802638058543514,1904.1307367138259
2020-12-02,2147.5714285714284,189832.14285714287,1698838.0,0.11174234556628876,0.0790940491091428,1938.9610265882263
2020-12-03,2195.8571428571427,196315.57142857142,1746451.857142857,0.11240823537485758,0.08340036536760617,2079.4449316978908
2020-12-04,2232.1428571428573,200880.85714285713,1762581.142857143,0.11396970741286236,0.07951503272563547,1952.6946724429279
2020-12-05,2259.4285714285716,206140.2857142857,1790605.7142857143,0.11512321449086661,0.08182125227437434,2027.9299103589403
2020-12-06,2310.5714285714284,208028.0,1825483.142857143,0.11395777650096858,0.08507415962128524,2134.0487134440227
2020-12-07,2354.8571428571427,208668.0,1824660.7142857143,0.11435989078204363,0.08784857532877009,2224.557800466847
2020-12-08,2381.1428571428573,209609.0,1842600.2857142857,0.11375717328663329,0.09199825335425034,2359.9317347015904
2020-12-09,2382.714285714286,210682.85714285713,1787285.142857143,0.1178787044612595,0.09610195267555889,2493.805716883061
2020-12-10,2431.0,211313.14285714287,1808704.7142857143,0.1168312003546658,0.09673581016982899,2514.483895338506
2020-12-11,2440.4285714285716,212940.14285714287,1861595.0,0.11438585882382735,0.09689156731492116,2519.5651226980335
2020-12-12,2475.285714285714,209317.2857142857,1882292.4285714286,0.11120338292660917,0.09907130314859232,2590.6741132232355
2020-12-13,2515.8571428571427,211730.14285714287,1882045.7142857143,0.1125,0.0990782849034456,2590.9018773091593
2020-12-14,2563.4285714285716,214836.2857142857,1878817.2857142857,0.11434655586139639,0.0990484955489588,2589.930066462527
2020-12-15,2580.4285714285716,215445.7142857143,1908895.4285714286,0.11286407367372066,0.09963501243418431,2609.063863774162
2020-12-16,2610.5714285714284,212311.2857142857,1898572.142857143,0.11182682023069215,0.09951989869048639,2605.3085361865296
2020-12-17,2634.4285714285716,213768.42857142858,1901703.142857143,0.1124089368913069,0.09799511450995155,2555.56587371719
2020-12-18,2652.0,211787.7142857143,1891640.142857143,0.11195983289180417,0.09690128407997771,2519.882110354826
2020-12-19,2682.4285714285716,211721.85714285713,1881700.0,0.11251626568680297,0.09563416263204907,2478.5451163745583
2020-12-20,2673.8571428571427,210301.2857142857,1872835.2857142857,0.11229032650037792,0.09456518939925561,2443.6722632938345
