date,count,tested,percentage,Unknown tested,Unknown count,Unknown percentage,<20 tested,<20 count,<20 percentage,20-39 tested,20-39 count,20-39 percentage,30-39 tested,30-39 count,30-39 percentage,40-49 tested,40-49 count,40-49 percentage,50-59 tested,50-59 count,50-59 percentage,60-69 tested,60-69 count,60-69 percentage,70-79 tested,70-79 count,70-79 percentage,80+ tested,80+ count,80+ percentage
06-26,1.4285714285714286,97.21428571428572,0.014695077149155033,0.0,0.0,,10.0,0.0,0.0,14.571428571428573,0.8571428571428572,0.058823529411764705,15.642857142857142,0.2857142857142857,0.0182648401826484,16.07142857142857,0.21428571428571427,0.013333333333333334,15.357142857142858,-0.07142857142857142,-0.004651162790697674,13.0,0.07142857142857142,0.005494505494505494,8.357142857142858,0.21428571428571427,0.025641025641025637,4.214285714285714,-0.07142857142857142,-0.01694915254237288
06-27,1.4285714285714286,97.21428571428572,0.014695077149155033,0.0,0.0,,10.0,0.0,0.0,14.571428571428573,0.8571428571428572,0.058823529411764705,15.642857142857142,0.2857142857142857,0.0182648401826484,16.07142857142857,0.21428571428571427,0.013333333333333334,15.357142857142858,-0.07142857142857142,-0.004651162790697674,13.0,0.07142857142857142,0.005494505494505494,8.357142857142858,0.21428571428571427,0.025641025641025637,4.214285714285714,-0.07142857142857142,-0.01694915254237288
06-28,1.4285714285714286,97.21428571428572,0.014695077149155033,0.0,0.0,,10.0,0.0,0.0,14.571428571428573,0.8571428571428572,0.058823529411764705,15.642857142857142,0.2857142857142857,0.0182648401826484,16.07142857142857,0.21428571428571427,0.013333333333333334,15.357142857142858,-0.07142857142857142,-0.004651162790697674,13.0,0.07142857142857142,0.005494505494505494,8.357142857142858,0.21428571428571427,0.025641025641025637,4.214285714285714,-0.07142857142857142,-0.01694915254237288
06-29,1.0,76.78571428571428,0.013023255813953489,0.0,0.0,,6.928571428571429,0.0,0.0,11.357142857142858,0.8571428571428572,0.07547169811320754,12.857142857142858,0.21428571428571427,0.016666666666666666,12.071428571428571,0.07142857142857142,0.005917159763313609,12.857142857142858,0.0,0.0,10.642857142857142,0.0,0.0,6.714285714285714,0.21428571428571427,0.031914893617021274,3.357142857142857,-0.07142857142857142,-0.02127659574468085
06-30,1.7142857142857142,111.5,0.015374759769378602,0.0,0.0,,9.5,0.07142857142857142,0.007518796992481203,14.428571428571427,0.9285714285714286,0.06435643564356437,18.357142857142858,0.5,0.027237354085603113,18.428571428571427,0.21428571428571427,0.011627906976744186,19.0,0.07142857142857142,0.0037593984962406013,14.928571428571427,0.0,0.0,11.0,0.21428571428571427,0.01948051948051948,5.714285714285714,-0.07142857142857142,-0.012499999999999999
07-01,1.7857142857142856,120.71428571428571,0.014792899408284023,0.0,0.0,,10.214285714285715,0.07142857142857142,0.006993006993006992,15.785714285714285,0.9285714285714286,0.05882352941176471,19.928571428571427,0.5,0.025089605734767026,20.357142857142854,0.21428571428571427,0.010526315789473686,20.642857142857142,0.07142857142857142,0.0034602076124567475,15.785714285714285,0.0,0.0,11.785714285714285,0.2857142857142857,0.024242424242424242,6.071428571428571,-0.07142857142857142,-0.011764705882352941
07-02,1.5,102.71428571428572,0.014603616133518776,0.0,0.0,,8.571428571428571,0.07142857142857142,0.008333333333333333,13.071428571428571,0.7857142857142857,0.060109289617486336,16.92857142857143,0.42857142857142855,0.025316455696202528,17.57142857142857,0.21428571428571427,0.012195121951219513,18.142857142857142,0.0,0.0,12.857142857142858,0.0,0.0,10.142857142857142,0.21428571428571427,0.02112676056338028,5.285714285714286,-0.07142857142857142,-0.013513513513513513
07-03,1.5,102.71428571428572,0.014603616133518776,0.0,0.0,,8.571428571428571,0.07142857142857142,0.008333333333333333,13.071428571428571,0.7857142857142857,0.060109289617486336,16.92857142857143,0.42857142857142855,0.025316455696202528,17.57142857142857,0.21428571428571427,0.012195121951219513,18.142857142857142,0.0,0.0,12.857142857142858,0.0,0.0,10.142857142857142,0.21428571428571427,0.02112676056338028,5.285714285714286,-0.07142857142857142,-0.013513513513513513
07-04,1.5,102.71428571428572,0.014603616133518776,0.0,0.0,,8.571428571428571,0.07142857142857142,0.008333333333333333,13.071428571428571,0.7857142857142857,0.060109289617486336,16.92857142857143,0.42857142857142855,0.025316455696202528,17.57142857142857,0.21428571428571427,0.012195121951219513,18.142857142857142,0.0,0.0,12.857142857142858,0.0,0.0,10.142857142857142,0.21428571428571427,0.02112676056338028,5.285714285714286,-0.07142857142857142,-0.013513513513513513
07-05,1.5,102.71428571428572,0.014603616133518776,0.0,0.0,,8.571428571428571,0.07142857142857142,0.008333333333333333,13.071428571428571,0.7857142857142857,0.060109289617486336,16.92857142857143,0.42857142857142855,0.025316455696202528,17.57142857142857,0.21428571428571427,0.012195121951219513,18.142857142857142,0.0,0.0,12.857142857142858,0.0,0.0,10.142857142857142,0.21428571428571427,0.02112676056338028,5.285714285714286,-0.07142857142857142,-0.013513513513513513
07-06,1.5,102.71428571428572,0.014603616133518776,0.0,0.0,,8.571428571428571,0.07142857142857142,0.008333333333333333,13.071428571428571,0.7857142857142857,0.060109289617486336,16.92857142857143,0.42857142857142855,0.025316455696202528,17.57142857142857,0.21428571428571427,0.012195121951219513,18.142857142857142,0.0,0.0,12.857142857142858,0.0,0.0,10.142857142857142,0.21428571428571427,0.02112676056338028,5.285714285714286,-0.07142857142857142,-0.013513513513513513
07-07,1.1428571428571428,69.35714285714286,0.016477857878475798,0.0,0.0,,4.857142857142858,0.07142857142857142,0.014705882352941175,8.571428571428571,0.21428571428571427,0.024999999999999998,11.642857142857142,0.42857142857142855,0.03680981595092025,12.0,0.14285714285714285,0.011904761904761904,12.642857142857142,0.07142857142857142,0.005649717514124294,8.214285714285715,0.0,0.0,7.357142857142858,0.14285714285714285,0.019417475728155338,3.928571428571429,-0.07142857142857142,-0.01818181818181818
07-08,1.1428571428571428,69.35714285714286,0.016477857878475798,0.0,0.0,,4.857142857142858,0.07142857142857142,0.014705882352941175,8.571428571428571,0.21428571428571427,0.024999999999999998,11.642857142857142,0.42857142857142855,0.03680981595092025,12.0,0.14285714285714285,0.011904761904761904,12.642857142857142,0.07142857142857142,0.005649717514124294,8.214285714285715,0.0,0.0,7.357142857142858,0.14285714285714285,0.019417475728155338,3.928571428571429,-0.07142857142857142,-0.01818181818181818
07-09,2.357142857142857,145.92857142857144,0.016152716593245225,0.0,0.0,,15.571428571428571,0.42857142857142855,0.027522935779816512,18.214285714285715,0.3571428571428571,0.019607843137254898,22.928571428571427,0.6428571428571428,0.028037383177570093,25.857142857142854,0.3571428571428571,0.013812154696132596,25.428571428571427,0.14285714285714285,0.0056179775280898875,17.5,0.07142857142857142,0.004081632653061224,13.428571428571427,0.21428571428571427,0.01595744680851064,6.857142857142857,-0.07142857142857142,-0.010416666666666666
07-10,2.0,120.5,0.016597510373443983,0.0,0.0,,14.0,0.42857142857142855,0.030612244897959183,14.07142857142857,0.21428571428571427,0.015228426395939087,18.357142857142858,0.5,0.027237354085603113,22.142857142857146,0.3571428571428571,0.016129032258064512,20.57142857142857,0.14285714285714285,0.006944444444444445,14.428571428571429,0.07142857142857142,0.0049504950495049506,11.142857142857142,0.14285714285714285,0.01282051282051282,5.642857142857143,0.0,0.0
07-11,2.0,120.5,0.016597510373443983,0.0,0.0,,14.0,0.42857142857142855,0.030612244897959183,14.07142857142857,0.21428571428571427,0.015228426395939087,18.357142857142858,0.5,0.027237354085603113,22.142857142857146,0.3571428571428571,0.016129032258064512,20.57142857142857,0.14285714285714285,0.006944444444444445,14.428571428571429,0.07142857142857142,0.0049504950495049506,11.142857142857142,0.14285714285714285,0.01282051282051282,5.642857142857143,0.0,0.0
07-12,2.0,120.5,0.016597510373443983,0.0,0.0,,14.0,0.42857142857142855,0.030612244897959183,14.07142857142857,0.21428571428571427,0.015228426395939087,18.357142857142858,0.5,0.027237354085603113,22.142857142857146,0.3571428571428571,0.016129032258064512,20.57142857142857,0.14285714285714285,0.006944444444444445,14.428571428571429,0.07142857142857142,0.0049504950495049506,11.142857142857142,0.14285714285714285,0.01282051282051282,5.642857142857143,0.0,0.0
07-13,2.7857142857142856,175.35714285714286,0.015885947046843176,0.0,0.0,,22.785714285714285,0.6428571428571429,0.028213166144200632,21.642857142857146,0.5,0.023102310231023097,24.928571428571427,0.7142857142857143,0.02865329512893983,32.214285714285715,0.3571428571428571,0.011086474501108645,28.92857142857143,0.14285714285714285,0.004938271604938271,20.357142857142858,0.21428571428571427,0.010526315789473684,16.214285714285715,0.14285714285714285,0.008810572687224669,8.071428571428571,0.0,0.0
07-14,2.071428571428571,145.57142857142856,0.01422963689892051,0.0,0.0,,21.0,0.5714285714285714,0.027210884353741496,19.142857142857142,0.42857142857142855,0.022388059701492536,20.357142857142858,0.4285714285714285,0.021052631578947364,26.214285714285715,0.21428571428571427,0.008174386920980926,23.785714285714285,0.07142857142857142,0.003003003003003003,16.714285714285715,0.21428571428571427,0.012820512820512818,12.428571428571429,0.14285714285714285,0.011494252873563218,5.857142857142858,0.0,0.0
07-15,2.142857142857143,149.21428571428572,0.014360938247965532,0.0,0.0,,21.857142857142854,0.5714285714285714,0.026143790849673203,19.428571428571427,0.42857142857142855,0.022058823529411766,20.28571428571429,0.5,0.02464788732394366,26.785714285714285,0.21428571428571427,0.008,24.571428571428573,0.07142857142857142,0.002906976744186046,17.642857142857142,0.21428571428571427,0.012145748987854251,12.285714285714285,0.07142857142857142,0.005813953488372093,6.285714285714286,0.0,0.0
07-16,2.642857142857143,162.78571428571428,0.016235190873189996,0.0,0.0,,23.857142857142858,0.5714285714285714,0.02395209580838323,21.071428571428573,0.5,0.02372881355932203,22.857142857142858,0.5,0.021875,28.428571428571427,0.35714285714285715,0.01256281407035176,27.285714285714285,0.14285714285714285,0.005235602094240838,19.071428571428573,0.21428571428571427,0.011235955056179773,13.214285714285715,0.07142857142857142,0.005405405405405405,6.928571428571429,0.14285714285714285,0.020618556701030927
07-17,2.7857142857142856,175.64285714285714,0.015860105734038225,0.0,0.0,,26.57142857142857,0.5714285714285714,0.021505376344086023,22.07142857142857,0.5,0.022653721682847898,24.571428571428573,0.5714285714285714,0.02325581395348837,30.85714285714286,0.35714285714285715,0.011574074074074073,29.5,0.14285714285714285,0.004842615012106537,20.428571428571427,0.21428571428571427,0.01048951048951049,14.142857142857142,0.07142857142857142,0.00505050505050505,7.428571428571429,0.14285714285714285,0.01923076923076923
07-18,2.7857142857142856,175.64285714285714,0.015860105734038225,0.0,0.0,,26.57142857142857,0.5714285714285714,0.021505376344086023,22.07142857142857,0.5,0.022653721682847898,24.571428571428573,0.5714285714285714,0.02325581395348837,30.85714285714286,0.35714285714285715,0.011574074074074073,29.5,0.14285714285714285,0.004842615012106537,20.428571428571427,0.21428571428571427,0.01048951048951049,14.142857142857142,0.07142857142857142,0.00505050505050505,7.428571428571429,0.14285714285714285,0.01923076923076923
07-19,2.7857142857142856,175.64285714285714,0.015860105734038225,0.0,0.0,,26.57142857142857,0.5714285714285714,0.021505376344086023,22.07142857142857,0.5,0.022653721682847898,24.571428571428573,0.5714285714285714,0.02325581395348837,30.85714285714286,0.35714285714285715,0.011574074074074073,29.5,0.14285714285714285,0.004842615012106537,20.428571428571427,0.21428571428571427,0.01048951048951049,14.142857142857142,0.07142857142857142,0.00505050505050505,7.428571428571429,0.14285714285714285,0.01923076923076923
07-20,3.857142857142857,218.21428571428572,0.0176759410801964,0.0,0.0,,33.857142857142854,0.7142857142857143,0.021097046413502112,28.928571428571427,1.1428571428571428,0.03950617283950617,30.92857142857143,0.6428571428571428,0.0207852193995381,37.57142857142857,0.42857142857142855,0.011406844106463879,36.14285714285714,0.2857142857142857,0.00790513833992095,24.857142857142854,0.21428571428571427,0.008620689655172414,16.642857142857142,0.07142857142857142,0.004291845493562232,9.214285714285714,0.14285714285714285,0.015503875968992248
07-21,3.857142857142857,218.21428571428572,0.0176759410801964,0.0,0.0,,33.857142857142854,0.7142857142857143,0.021097046413502112,28.928571428571427,1.1428571428571428,0.03950617283950617,30.92857142857143,0.6428571428571428,0.0207852193995381,37.57142857142857,0.42857142857142855,0.011406844106463879,36.14285714285714,0.2857142857142857,0.00790513833992095,24.857142857142854,0.21428571428571427,0.008620689655172414,16.642857142857142,0.07142857142857142,0.004291845493562232,9.214285714285714,0.14285714285714285,0.015503875968992248
